"","tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state","date.lsd","date.lsd.low","date.lsd.high","date.lsd.full"
"1","Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","EPI_ISL_FAKE_164","Canada/fake_164/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"2","Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","EPI_ISL_FAKE_167","Canada/fake_167/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-06"
"3","Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12","EPI_ISL_FAKE_47","Portugal/fake_47/2020","2020-12-12","Europe","Portugal","Portugal",NA,NA,"B","Portugal",NA,NA,NA,"2020-12-12"
"4","Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","EPI_ISL_FAKE_115","Canada/fake_115/2021","2021-01-22","North America","Canada","Manitoba",NA,NA,"B","Canada_Manitoba",NA,NA,NA,"2021-01-22"
"5","Ireland/fake_89/2021/EPI_ISL_FAKE_89/2021-01-09","EPI_ISL_FAKE_89","Ireland/fake_89/2021","2021-01-09","Europe","Ireland","Dublin",NA,NA,"B","Ireland",NA,NA,NA,"2021-01-09"
"6","Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","EPI_ISL_FAKE_169","Canada/fake_169/2021","2021-02-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-07"
"7","Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","EPI_ISL_FAKE_146","Canada/fake_146/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-01"
"8","Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","EPI_ISL_FAKE_48","Canada/fake_48/2020","2020-12-12","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-12"
"9","Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","EPI_ISL_FAKE_53","Canada/fake_53/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-14"
"10","Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","EPI_ISL_FAKE_127","Canada/fake_127/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-25"
"11","USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10","EPI_ISL_FAKE_181","USA/fake_181/2021","2021-02-10","North America","USA","Massachusetts",NA,NA,"B","USA",NA,NA,NA,"2021-02-10"
"12","Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","EPI_ISL_FAKE_67","Canada/fake_67/2020","2020-12-26","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-26"
"13","Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","EPI_ISL_FAKE_84","Canada/fake_84/2021","2021-01-07","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia",NA,NA,NA,"2021-01-07"
"14","Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","EPI_ISL_FAKE_4","Canada/fake_4/2020","2020-08-01","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-08-01"
"15","Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","EPI_ISL_FAKE_3","Canada/fake_3/2020","2020-07-13","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-07-13"
"16","UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13","EPI_ISL_FAKE_7","UnitedKingdom/fake_7/2020","2020-08-13","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2020-08-13"
"17","Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14","EPI_ISL_FAKE_55","Canada/fake_55/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-14"
"18","Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16","EPI_ISL_FAKE_32","Canada/fake_32/2020","2020-11-16","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2020-11-16"
"19","UnitedKingdom/fake_193/2021/EPI_ISL_FAKE_193/2021-02-15","EPI_ISL_FAKE_193","UnitedKingdom/fake_193/2021","2021-02-15","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2021-02-15"
